# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.housekeeperTurnsDone,1737673742358000000,1737673759458000000,0
StorageLockContext.competingThreads.avg,1737673742358000000,1737673759458000000,0.0
FilePageCacheLockFree.heapBytesInUse,1737673742358000000,1737673759458000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1737673742358000000,1737673759458000000,41959424
FilePageCacheLockFree.totalPagesHandedOver,1737673742358000000,1737673759458000000,0
FilePageCacheLockFree.totalPagesWritten,1737673742358000000,1737673759458000000,0
FilePageCacheLockFree.totalPagesAllocated,1737673742358000000,1737673759458000000,0
FilePageCache.maxRegisteredFiles,1737673742358000000,1737673759458000000,117
FilePageCache.pageFastCacheHits,1737673742358000000,1737673759458000000,941
DirectByteBufferAllocator.misses,1737673742358000000,1737673759458000000,48
FilePageCacheLockFree.totalPagesReadMs,1737673742358000000,1737673759458000000,0
DirectByteBufferAllocator.disposed,1737673742358000000,1737673759458000000,6
FilePageCacheLockFree.housekeeperTurnsSkipped,1737673742358000000,1737673759458000000,0
FilePageCache.disposedBuffers,1737673742358000000,1737673759458000000,51
FilePageCache.pageHits,1737673742358000000,1737673759458000000,0
FilePageCache.maxCacheSizeInBytes,1737673742358000000,1737673759458000000,48250880
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1737673742358000000,1737673759458000000,41959424
FilePageCache.totalPageLoadsUs,1737673742358000000,1737673759458000000,119492
FilePageCache.pageLoadsAboveSizeThreshold,1737673742358000000,1737673759458000000,0
StorageLockContext.competingThreads.90P,1737673742358000000,1737673759458000000,0
FilePageCache.capacityInBytes,1737673742358000000,1737673759458000000,503316478
FilePageCache.pageLoads,1737673742358000000,1737673759458000000,51
FilePageCacheLockFree.totalPagesRequested,1737673742358000000,1737673759458000000,0
DirectByteBufferAllocator.hits,1737673742358000000,1737673759458000000,3
FilePageCacheLockFree.totalNativeBytesReclaimed,1737673742358000000,1737673759458000000,0
FilePageCache.uncachedFileAccess,1737673742358000000,1737673759458000000,16
StorageLockContext.competingThreads.max,1737673742358000000,1737673759458000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1737673742358000000,1737673759458000000,0
FilePageCacheLockFree.totalPagesReclaimed,1737673742358000000,1737673759458000000,0
FilePageCacheLockFree.nativeBytesInUse,1737673742358000000,1737673759458000000,0
FilePageCacheLockFree.totalBytesWritten,1737673742358000000,1737673759458000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1737673742358000000,1737673759458000000,0
FilePageCache.totalPageDisposalsUs,1737673742358000000,1737673759458000000,1071
FileChannelInterruptsRetryer.totalRetriedAttempts,1737673742358000000,1737673759458000000,0
